COIL,MT_FROM,MT_TO,DATE,DIF_TIPO_1,DIF_TIPO_2,DIF_TIPO_3,DIF_TIPO_4,DIF_TIPO_5,DIF_TIPO_6
394321,0.000000,1432.000000,"2019-03-14","0","0","1","0","0","0"
394326,0.000000,1336.000000,"2019-03-14","0","0","1","0","0","0"
395223,0.000000,1373.000000,"2019-03-14","0","0","1","0","0","0"
392915,0.000000,623.000000,"2019-03-15","0","0","1","1","0","0"
393514,0.000000,669.000000,"2019-03-15","0","0","1","1","0","0"
394314,0.000000,671.000000,"2019-03-15","0","0","1","1","0","0"
394614,0.000000,690.000000,"2019-03-15","0","0","1","1","0","0"
394620,0.000000,587.000000,"2019-03-15","0","0","1","1","0","0"
384413,800.000000,2118.000000,"2019-03-16","0","0","0","1","0","0"
385021,3.000000,4138.000000,"2019-03-16","0","0","1","1","0","0"
388913,0.000000,2094.000000,"2019-03-16","0","0","1","0","0","0"
392220,1.000000,1700.000000,"2019-03-16","0","0","0","1","0","0"
394010,7.000000,3316.000000,"2019-03-16","0","0","1","0","0","0"
394023,2.000000,2960.000000,"2019-03-16","0","0","1","0","0","0"
394631,1.000000,2109.000000,"2019-03-16","0","0","0","1","1","0"
395226,0.000000,1711.000000,"2019-03-16","0","0","0","1","0","0"
395514,0.000000,1795.000000,"2019-03-16","0","0","0","1","0","0"
395732,0.000000,1750.000000,"2019-03-16","0","0","0","1","0","0"
396012,0.000000,399.000000,"2019-03-16","1","0","0","0","0","0"
396012,400.000000,1511.000000,"2019-03-16","1","1","0","0","0","0"
396110,1.000000,2532.000000,"2019-03-16","0","0","1","0","0","0"
396111,1.000000,3422.000000,"2019-03-16","0","0","1","0","0","0"
396112,0.000000,50.000000,"2019-03-16","0","1","0","1","1","0"
396112,51.000000,2102.000000,"2019-03-16","0","1","0","1","0","0"
396113,1.000000,3415.000000,"2019-03-16","0","0","1","0","0","0"
396515,1.000000,1800.000000,"2019-03-16","0","0","1","0","0","0"
394819,0.000000,678.000000,"2019-03-17","1","0","1","1","0","0"
395232,0.000000,60.000000,"2019-03-17","0","1","0","1","0","0"
395232,61.000000,1401.000000,"2019-03-17","0","0","0","1","0","0"
395310,0.000000,100.000000,"2019-03-17","0","1","1","0","0","0"
395310,101.000000,1049.000000,"2019-03-17","0","0","1","0","0","0"
395319,0.000000,1527.000000,"2019-03-17","0","0","1","0","0","0"
395434,0.000000,907.000000,"2019-03-17","0","0","1","0","0","0"
395510,0.000000,663.000000,"2019-03-17","1","0","1","1","0","0"
395512,0.000000,100.000000,"2019-03-17","0","1","0","1","0","0"
395512,101.000000,1390.000000,"2019-03-17","0","0","0","1","0","0"
395730,0.000000,80.000000,"2019-03-17","0","1","0","0","0","0"
396010,0.000000,695.000000,"2019-03-17","1","0","1","1","0","0"
382125,7.000000,2230.000000,"2019-03-19","0","0","0","1","0","0"
394623,0.000000,1044.000000,"2019-03-19","1","0","1","1","0","0"
395218,0.000000,951.000000,"2019-03-19","1","0","1","1","0","0"
395725,0.000000,1149.000000,"2019-03-19","1","0","1","1","0","0"
395726,215.000000,227.000000,"2019-03-19","1","0","1","1","0","0"
395728,0.000000,1163.000000,"2019-03-19","1","0","1","1","0","0"
396318,100.000000,1027.000000,"2019-03-19","1","0","1","1","0","0"
396319,0.000000,1007.000000,"2019-03-19","1","0","1","1","0","0"
396411,0.000000,990.000000,"2019-03-19","1","0","0","0","0","0"
396412,0.000000,1389.000000,"2019-03-19","0","0","0","0","1","0"
396415,0.000000,2858.000000,"2019-03-19","0","0","0","1","0","0"
396430,1.000000,2831.000000,"2019-03-19","0","0","0","1","0","0"
397124,0.000000,1438.000000,"2019-03-19","1","0","1","1","0","0"
396613,2.000000,1807.000000,"2019-03-20","0","1","1","1","0","0"
385011,0.000000,866.000000,"2019-03-21","0","1","0","1","0","0"
393534,0.000000,681.000000,"2019-03-24","0","0","1","1","0","0"
395214,0.000000,685.000000,"2019-03-24","0","0","1","0","0","0"
395316,0.000000,587.000000,"2019-03-24","0","0","1","0","0","0"
395318,58.000000,619.000000,"2019-03-24","0","0","1","0","0","0"
396315,540.000000,700.000000,"2019-03-24","0","1","1","0","0","0"
396315,0.000000,780.000000,"2019-03-24","0","0","1","0","0","0"
396316,0.000000,653.000000,"2019-03-24","0","0","1","0","0","0"
396317,0.000000,696.000000,"2019-03-24","0","0","1","0","0","0"
397114,0.000000,1378.000000,"2019-03-24","0","0","1","0","0","0"
397115,0.000000,1136.000000,"2019-03-24","0","0","1","0","0","0"
397116,654.000000,1085.000000,"2019-03-24","0","1","1","0","0","0"
397117,0.000000,1148.000000,"2019-03-24","0","0","1","0","0","0"
398614,0.000000,1076.000000,"2019-03-24","0","1","1","0","0","0"
398617,0.000000,820.000000,"2019-03-24","0","0","1","0","0","0"
398618,0.000000,1058.000000,"2019-03-24","0","0","1","0","0","0"
398619,22.000000,883.000000,"2019-03-24","0","0","1","0","0","0"
398920,0.000000,320.000000,"2019-03-24","0","1","0","1","0","0"
398920,321.000000,1041.000000,"2019-03-24","0","0","0","1","0","0"
397118,0.000000,1443.000000,"2019-03-26","0","0","1","0","0","0"
397121,0.000000,1448.000000,"2019-03-26","0","0","1","0","0","0"
398620,0.000000,1401.000000,"2019-03-26","0","0","1","1","0","0"
400911,0.000000,400.000000,"2019-03-26","0","0","1","0","1","0"
400911,401.000000,1400.000000,"2019-03-26","0","0","1","0","0","0"
401810,0.000000,2098.000000,"2019-03-26","0","0","1","0","0","0"
401812,0.000000,1385.000000,"2019-03-26","0","0","1","0","0","0"
401813,450.000000,2112.000000,"2019-03-26","0","0","0","1","0","0"
401813,0.000000,350.000000,"2019-03-26","0","0","1","0","0","0"
391614,0.000000,958.000000,"2019-03-27","0","0","1","0","0","0"
391625,0.000000,885.000000,"2019-03-27","0","0","1","0","0","0"
398526,1100.000000,2515.000000,"2019-03-27","0","0","0","1","0","0"
398815,2500.000000,2600.000000,"2019-03-27","0","0","0","1","0","0"
400014,0.000000,649.000000,"2019-03-27","0","0","1","1","0","0"
400015,0.000000,1079.000000,"2019-03-27","0","0","1","0","0","0"
400120,0.000000,1072.000000,"2019-03-27","0","0","1","0","0","0"
394732,0.000000,684.000000,"2019-03-28","1","0","1","1","0","0"
396611,0.000000,683.000000,"2019-03-28","1","0","1","1","0","0"
400011,0.000000,675.000000,"2019-03-28","1","0","1","1","0","0"
400310,230.000000,250.000000,"2019-03-28","1","1","0","0","0","0"
400310,177.000000,229.000000,"2019-03-28","1","0","0","0","0","0"
400310,0.000000,176.000000,"2019-03-28","1","0","1","1","0","0"
401431,0.000000,1528.000000,"2019-03-30","0","1","1","0","0","0"
403734,0.000000,70.000000,"2019-03-30","0","1","1","0","0","0"
403734,71.000000,1845.000000,"2019-03-30","0","0","1","0","0","0"
402032,0.000000,2602.000000,"2019-03-31","0","0","0","0","1","0"
403410,0.000000,730.000000,"2019-03-31","1","0","0","0","0","0"
402025,5.000000,2232.000000,"2019-04-02","0","0","1","0","0","0"
404115,0.000000,1843.000000,"2019-04-02","0","0","1","0","0","0"
405623,2.000000,2111.000000,"2019-04-02","0","0","1","1","0","0"
394613,0.000000,1456.000000,"2019-04-03","0","0","0","1","0","0"
396310,500.000000,1416.000000,"2019-04-03","0","0","0","1","0","0"
397823,0.000000,1547.000000,"2019-04-03","0","0","0","1","0","0"
402116,0.000000,2075.000000,"2019-04-03","0","0","1","0","0","0"
403813,0.000000,1375.000000,"2019-04-03","0","0","1","0","0","0"
